Age,Gender,Education Level,Job Title,Years of Experience,City,Salary
33.0,Female,PhD,Marketing Manager,0.9,Austin,98757.3
22.0,Male,High School,Marketing Manager,1.0,Remote,40375.61
28.0,Female,PhD,Financial Analyst,0.0,Denver,88641.2
30.0,Male,Bachelor's,Customer Support Specialist,1.2,Remote,61484.13
38.0,Male,Bachelor's,Business Analyst,11.4,New York,103838.72
42.0,Female,Master's,Business Analyst,11.7,San Francisco,127796.98
52.0,Male,Bachelor's,Data Scientist,18.3,Boston,138079.85
30.0,Female,Master's,Financial Analyst,5.9,San Francisco,115983.25
40.0,Male,PhD,Financial Analyst,9.0,San Francisco,145396.77
34.0,Male,Bachelor's,Marketing Manager,13.0,Remote,86685.69
32.0,Male,Bachelor's,Software Engineer,4.1,Denver,80699.4
21.0,Male,Master's,Research Scientist,0.0,Atlanta,96077.48
27.0,Female,Bachelor's,Project Manager,2.6,Atlanta,78669.07
40.0,Male,Bachelor's,Business Analyst,12.7,Boston,89087.12
31.0,Female,Bachelor's,DevOps Engineer,6.3,Atlanta,90677.48
21.0,Male,Bachelor's,Marketing Manager,0.0,Remote,58091.38
40.0,Male,Master's,Research Scientist,13.1,Austin,119073.7
,Female,High School,Sales Executive,1.7,Remote,36118.36
45.0,Male,Bachelor's,Project Manager,12.9,Seattle,105417.62
43.0,Male,Bachelor's,Marketing Manager,13.3,Austin,95863.02
45.0,Male,Master's,HR Manager,16.3,Denver,113941.11
38.0,Female,Bachelor's,Product Manager,9.5,Remote,99123.83
21.0,Female,Bachelor's,Financial Analyst,0.0,Austin,51342.31
45.0,Male,Bachelor's,Project Manager,12.7,Seattle,124878.77
53.0,Male,Bachelor's,Research Scientist,21.2,Seattle,132180.28
39.0,Male,High School,Operations Manager,9.1,Atlanta,71519.47
25.0,Male,Master's,Software Engineer,4.0,Chicago,99815.53
43.0,Female,Bachelor's,Data Scientist,13.4,Chicago,115429.6
30.0,Male,Bachelor's,Sales Executive,5.2,Remote,58586.18
31.0,Female,Master's,HR Manager,7.0,Seattle,99065.14
34.0,Female,Master's,Business Analyst,10.6,Austin,96755.24
31.0,Female,Bachelor's,Sales Executive,10.0,Remote,84938.99
42.0,Male,Master's,Software Engineer,,New York,135719.47
33.0,Female,Bachelor's,Operations Manager,7.2,New York,91181.26
34.0,Male,PhD,Operations Manager,4.1,New York,127196.81
42.0,Male,Master's,Research Scientist,12.1,Boston,130717.35
21.0,Female,High School,Operations Manager,0.0,New York,68790.87
46.0,Male,Master's,Software Engineer,13.8,Austin,118212.72
51.0,Female,Master's,UX Designer,16.9,Remote,122464.42
32.0,Male,Master's,Customer Support Specialist,5.0,Remote,67130.93
33.0,Female,High School,Research Scientist,6.2,New York,88284.44
35.0,Male,Master's,Customer Support Specialist,5.3,Austin,90851.68
39.0,Male,Master's,HR Manager,8.2,Atlanta,105275.18
36.0,Female,Master's,HR Manager,13.3,Austin,113762.32
21.0,Male,PhD,Business Analyst,0.0,New York,110748.44
37.0,Female,Master's,Product Manager,8.7,Boston,126269.21
21.0,Male,Master's,Software Engineer,0.0,Remote,82371.31
40.0,Male,Master's,Product Manager,8.7,Boston,113078.49
